1,Sam,Taylor,56,64,59,91,90,84,72 
2,Olivia,Quinn,99,66,91,60,86,67,86 
3,Jack,Smith,87,74,75,89,72,99,90 
4,David,Thomson,92,85,96,100,55,91,85 
5,Henry,Moore,87,64,79,80,83,96,70 
6,Alice,Smith,50,64,78,83,50,58,83 
7,Amanda,William,75,54,95,55,63,83,58 
8,Brian,Robins,82,88,61,70,57,74,96 
9,Max,Thomas,56,76,79,100,57,57,95 
10,Charlie,Brown,56,95,90,71,73,67,55 
11,Kate,Taylor,58,85,87,59,94,85,51 
12,Grace,Donald,61,69,94,78,72,69,91 
13,Cain,Brown,96,71,56,78,65,61,98 
14,Jamie,Swift,91,60,65,81,53,88,66 
15,Davis,Jones,81,78,84,87,100,67,81 
16,Frank,Jackson,96,75,84,83,59,79,73 
17,Pamela,Miller,79,91,59,88,53,99,92 
18,Jeremy,Johnson,77,58,82,90,78,51,84 
19,Ivy,White,62,66,57,74,65,61,85 
20,Bob,Garcia,97,53,76,58,59,84,61
